,location_id,city_name,latitude,longitude
0,city0,"Carmel Valley",36.48187,-121.73333
1,city1,"Poleta",37.36075,-118.3308
2,city2,"North Fair Oaks #01",37.48293,-122.20348
3,city3,"Davis",38.53455,-121.7734
4,city4,"Ukiah",39.150473,-123.206548
5,city5,"Gilroy #01",36.99958,-121.57466
6,city6,"Lompoc #01",34.63782,-120.4575
7,city7,"San Francisco",37.76595,-122.39902
8,city8,"Vallejo",38.10251,-122.238
9,city9,"Los Angeles #01",34.1992,-118.53275
10,city10,"Alpine",32.84232,-116.76831
11,city11,"Upland",34.10367,-117.62906
12,city12,"Jurupa Valley #01",33.99952,-117.41595
13,city13,"San Rafael",37.9723,-122.52011
14,city14,"Hollister",36.843425,-121.3621
15,city15,"Fagan",39.327563,-121.668811
16,city16,"Arden-Arcade",38.61374,-121.36801
17,city17,"Colusa",39.18919,-121.99887
18,city18,"Concord",37.936,-122.0262
19,city19,"Glendora",34.14437,-117.85038
20,city20,"Simi Valley #01",34.276316,-118.683685
21,city21,"Los Angeles #01",34.06653,-118.22676
22,city22,"Lake Elsinore",33.67653,-117.33104
23,city23,"Roseville",38.74643,-121.26498
24,city24,"Yuba City",39.13868,-121.61884
25,city25,"Elk Grove",38.30256,-121.42083
26,city26,"Woodlands",35.02079,-120.56389
27,city27,"Thousand Oaks #01",34.210169,-118.870509
28,city28,"El Rio #01",34.25239,-119.143182
29,city29,"Colfax",39.09979,-120.95391
30,city30,"Sacramento",38.56844,-121.49311
31,city31,"Quincy",39.93957,-120.94438
32,city32,"Grass Valley",39.23352,-121.05567
33,city33,"Chester",40.30965,-121.22785
34,city34,"San Andreas",38.20185,-120.680277
35,city35,"Bakersfield",35.356615,-119.062613
36,city36,"Goleta #01",34.445505,-119.828452
37,city37,"Keeler",36.48785,-117.87104
38,city38,"Banning #01",33.920767,-116.858413
39,city39,"Ojai #01",34.448057,-119.231299
40,city40,"Camp Pendleton South",33.21701,-117.39616
41,city41,"Live Oak",36.98332,-121.98822
42,city42,"Sloughhouse",38.49444,-121.21115
43,city43,"Oakland #01",37.74306,-122.16994
44,city44,"Woodland",38.66121,-121.73269
45,city45,"Salinas #01",36.694261,-121.623271
46,city46,"Livermore",37.6875,-121.7842
47,city47,"Victorville #01",34.51096,-117.32555
48,city48,"Santa Clarita",34.38337,-118.52839
49,city49,"Piru #01",34.404281,-118.80998
50,city50,"Lancaster #01",34.66959,-118.13068
51,city51,"San Jose #01",37.348488,-121.894936
52,city52,"San Pablo",37.9604,-122.35685
53,city53,"Anaheim",33.83061,-117.9385
54,city54,"Vacaville",38.35655,-121.94986
55,city55,"Long Beach #01",33.7924,-118.17525
56,city56,"Jurupa Valley #01",33.99636,-117.4924
57,city57,"Willows",39.53387,-122.190834
58,city58,"King City #01",36.209018,-121.125959
59,city59,"San Diego",32.57816,-116.92135
60,city60,"Oakland #01",37.8148,-122.28236
61,city61,"Levis #01",36.63424,-120.38234
62,city62,"Callender #01",35.04676,-120.58777
63,city63,"Huron",36.19865,-120.10117
64,city64,"French Valley",33.583018,-117.072202
65,city65,"Fresno",36.78538,-119.77321
66,city66,"Chico",39.76168,-121.84047
67,city67,"Paradise",39.77919,-121.59135
68,city68,"North Auburn #01",38.93568,-121.09959
69,city69,"Portola",39.813356,-120.470691
70,city70,"Tahoe City",39.16602,-120.14883
71,city71,"Oakland #01",37.79362,-122.26338
72,city72,"Sebastopol #01",38.403765,-122.818294
73,city73,"San Jose #01",37.338202,-121.849892
74,city74,"Lomond",37.06315,-122.083092
75,city75,"Atascadero #01",35.49442,-120.66622
76,city76,"Red Bluff",40.17088,-122.25556
77,city77,"Long Beach #01",33.859662,-118.200707
78,city78,"El Cajon",32.78956,-116.94432
79,city79,"Rio Vista",38.167275,-121.68841667
80,city80,"Mammoth Lakes",37.64571,-118.96652
81,city81,"Gilroy #01",36.999571,-121.574684
82,city82,"North Auburn #01",38.93568,-121.09959
83,city83,"Sebastopol #01",38.403765,-122.818294
84,city84,"Modesto",37.642165,-120.994212
85,city85,"Turlock",37.488317,-120.836008
86,city86,"Thousand Oaks #01",34.210169,-118.870509
87,city87,"King City #01",36.209286,-121.126371
88,city88,"Piru #01",34.404281,-118.80998
89,city89,"Santa Barbara",34.427775,-119.691218
90,city90,"Folsom",38.683304,-121.164457
91,city91,"Ontario",34.030833,-117.61722
92,city92,"Long Beach #01",33.79236,-118.17533
93,city93,"Pala",33.362593,-117.09023
94,city94,"Victorville #01",34.510961,-117.32554
95,city95,"El Rio #01",34.25239,-119.143182
96,city96,"Jurupa Valley #01",33.99958,-117.41601
97,city97,"Atascadero #01",35.49453,-120.66617
98,city98,"Lancaster #01",34.669739,-118.130511
99,city99,"Simi Valley #01",34.276316,-118.683685
100,city100,"Lompoc #01",34.63782,-120.4575
101,city101,"Callender #01",35.04673,-120.58777
102,city102,"Levis #01",36.634225,-120.382331
103,city103,"Manteca",37.793392,-121.247874
104,city104,"Goleta #01",34.44551,-119.8284
105,city105,"North Fair Oaks #01",37.482934,-122.20337
106,city106,"Stockton",37.950741,-121.268523
107,city107,"Salinas #01",36.694261,-121.623271
108,city108,"Ojai #01",34.44806,-119.2313
109,city109,"Ben Lomond",37.06315,-122.083092
110,city110,"Millerton",36.985119,-119.658339
111,city111,"Banning #01",33.944713,-116.830074
