id,city,lat,lon,resolved_city
0,city0,36.48187,-121.73333,Carmel Valley
1,city1,37.36075,-118.3308,Unknown
2,city2,37.48293,-122.20348,North Fair Oaks
3,city3,38.53455,-121.7734,Unknown (2)
4,city4,39.150473,-123.206548,Ukiah
5,city5,36.99958,-121.57466,Gilroy
6,city6,34.63782,-120.4575,Lompoc
7,city7,37.76595,-122.39902,San Francisco
8,city8,38.10251,-122.238,Vallejo
9,city9,34.1992,-118.53275,Los Angeles
10,city10,32.84232,-116.76831,Alpine
11,city11,34.10367,-117.62906,Upland
12,city12,33.99952,-117.41595,Jurupa Valley
13,city13,37.9723,-122.52011,San Rafael
14,city14,36.843425,-121.3621,Unknown (3)
15,city15,39.327563,-121.668811,Unknown (4)
16,city16,38.61374,-121.36801,Unknown (5)
17,city17,39.18919,-121.99887,Colusa
18,city18,37.936,-122.0262,Concord
19,city19,34.14437,-117.85038,Glendora
20,city20,34.276316,-118.683685,Simi Valley
21,city21,34.06653,-118.22676,Los Angeles (2)
22,city22,33.67653,-117.33104,Lake Elsinore
23,city23,38.74643,-121.26498,Roseville
24,city24,39.13868,-121.61884,Yuba City
25,city25,38.30256,-121.42083,Unknown (6)
26,city26,35.02079,-120.56389,Unknown (7)
27,city27,34.210169,-118.870509,Thousand Oaks
28,city28,34.25239,-119.143182,Unknown (8)
29,city29,39.09979,-120.95391,Colfax
30,city30,38.56844,-121.49311,Sacramento
31,city31,39.93957,-120.94438,Quincy
32,city32,39.23352,-121.05567,Grass Valley
33,city33,40.30965,-121.22785,Chester
34,city34,38.20185,-120.680277,San Andreas
35,city35,35.356615,-119.062613,Bakersfield
36,city36,34.445505,-119.828452,Goleta
37,city37,36.48785,-117.87104,Unknown (9)
38,city38,33.920767,-116.858413,Banning
39,city39,34.448057,-119.231299,Ojai
40,city40,33.21701,-117.39616,Marine Corps Base Camp Pendleton
41,city41,36.98332,-121.98822,Live Oak
42,city42,38.49444,-121.21115,Unknown (10)
43,city43,37.74306,-122.16994,Oakland
44,city44,38.66121,-121.73269,Woodland
45,city45,36.694261,-121.623271,Salinas
46,city46,37.6875,-121.7842,Livermore
47,city47,34.51096,-117.32555,Victorville
48,city48,34.38337,-118.52839,Santa Clarita
49,city49,34.404281,-118.80998,Unknown (11)
50,city50,34.66959,-118.13068,Lancaster
51,city51,37.348488,-121.894936,San Jose
52,city52,37.9604,-122.35685,San Pablo
53,city53,33.83061,-117.9385,Anaheim
54,city54,38.35655,-121.94986,Vacaville
55,city55,33.7924,-118.17525,Long Beach
56,city56,33.99636,-117.4924,Jurupa Valley (2)
57,city57,39.53387,-122.190834,Willows
58,city58,36.209018,-121.125959,King City
59,city59,32.57816,-116.92135,Unknown (12)
60,city60,37.8148,-122.28236,Oakland (2)
61,city61,36.63424,-120.38234,Unknown (13)
62,city62,35.04676,-120.58777,Unknown (14)
63,city63,36.19865,-120.10117,Huron
64,city64,33.583018,-117.072202,Unknown (15)
65,city65,36.78538,-119.77321,Fresno
66,city66,39.76168,-121.84047,Chico
67,city67,39.77919,-121.59135,Paradise
68,city68,38.93568,-121.09959,Unknown (16)
69,city69,39.813356,-120.470691,Portola
70,city70,39.16602,-120.14883,Tahoe City
71,city71,37.79362,-122.26338,Oakland (3)
72,city72,38.403765,-122.818294,Sebastopol
73,city73,37.338202,-121.849892,San Jose (2)
74,city74,37.06315,-122.083092,Unknown (17)
75,city75,35.49442,-120.66622,Atascadero
76,city76,40.17088,-122.25556,Red Bluff
77,city77,33.859662,-118.200707,Long Beach (2)
78,city78,32.78956,-116.94432,El Cajon
79,city79,38.167275,-121.68841667,Rio Vista
80,city80,37.64571,-118.96652,Mammoth Lakes
81,city81,36.999571,-121.574684,Gilroy (2)
82,city82,38.93568,-121.09959,Unknown (18)
83,city83,38.403765,-122.818294,Sebastopol (2)
84,city84,37.642165,-120.994212,Modesto
85,city85,37.488317,-120.836008,Turlock
86,city86,34.210169,-118.870509,Thousand Oaks (2)
87,city87,36.209286,-121.126371,King City (2)
88,city88,34.404281,-118.80998,Unknown (19)
89,city89,34.427775,-119.691218,Santa Barbara
90,city90,38.683304,-121.164457,Folsom
91,city91,34.030833,-117.61722,Ontario
92,city92,33.79236,-118.17533,Long Beach (3)
93,city93,33.362593,-117.09023,Pala / Páala
94,city94,34.510961,-117.32554,Victorville (2)
95,city95,34.25239,-119.143182,Unknown (20)
96,city96,33.99958,-117.41601,Jurupa Valley (3)
97,city97,35.49453,-120.66617,Atascadero (2)
98,city98,34.669739,-118.130511,Lancaster (2)
99,city99,34.276316,-118.683685,Simi Valley (2)
100,city100,34.63782,-120.4575,Lompoc (2)
101,city101,35.04673,-120.58777,Unknown (21)
102,city102,36.634225,-120.382331,Unknown (22)
103,city103,37.793392,-121.247874,Manteca
104,city104,34.44551,-119.8284,Goleta (2)
105,city105,37.482934,-122.20337,North Fair Oaks (2)
106,city106,37.950741,-121.268523,Stockton
107,city107,36.694261,-121.623271,Salinas (2)
108,city108,34.44806,-119.2313,Ojai (2)
109,city109,37.06315,-122.083092,Unknown (23)
110,city110,36.985119,-119.658339,Millerton
111,city111,33.944713,-116.830074,Banning (2)
